GEOGRAPHY_LEVEL,DATA_Level,UUID,FY_ENDING,CASSR,GEOGRAPHY_CODE,DH_GEOGRAPHY_NAME,REGION_GO_CODE,GEOGRAPHY_NAME,DimensionGroup,CareType,FinanceType,FinanceDescription,AgeBand,PrimarySupportReason,SupportSetting,Purpose,CarerSupportType,DataType,ActivityProvision,ComparativeTotals,DataSource,ValueType,ITEMVALUE
England,Gross Current Expenditure,8110115,2022,,,,E92000001,England,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,153321
Local Authority,Gross Current Expenditure,8110115,2022,106,E08000037,Gateshead,E12000001,North East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,773
Local Authority,Gross Current Expenditure,8110115,2022,108,E08000022,North Tyneside,E12000001,North East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,442
Local Authority,Gross Current Expenditure,8110115,2022,111,E06000001,Hartlepool,E12000001,North East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,64
Local Authority,Gross Current Expenditure,8110115,2022,113,E06000003,Redcar and Cleveland,E12000001,North East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,168
Local Authority,Gross Current Expenditure,8110115,2022,114,E06000004,Stockton-on-Tees,E12000001,North East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,210
Local Authority,Gross Current Expenditure,8110115,2022,116,E06000047,County Durham,E12000001,North East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,2014
Local Authority,Gross Current Expenditure,8110115,2022,117,E06000005,Darlington,E12000001,North East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,90
Local Authority,Gross Current Expenditure,8110115,2022,209,E08000032,Bradford,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,531
Local Authority,Gross Current Expenditure,8110115,2022,216,E06000012,North East Lincolnshire,E12000003,Yorkshire and The Humber,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,88
Local Authority,Gross Current Expenditure,8110115,2022,307,E08000004,Oldham,E12000002,North West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,336
Local Authority,Gross Current Expenditure,8110115,2022,311,E08000008,Tameside,E12000002,North West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,272
Local Authority,Gross Current Expenditure,8110115,2022,313,E08000010,Wigan,E12000002,North West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,710
Local Authority,Gross Current Expenditure,8110115,2022,317,E08000014,Sefton,E12000002,North West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,807
Local Authority,Gross Current Expenditure,8110115,2022,318,E08000013,St. Helens,E12000002,North West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,2199
Local Authority,Gross Current Expenditure,8110115,2022,323,E10000017,Lancashire,E12000002,North West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,2940
Local Authority,Gross Current Expenditure,8110115,2022,324,E06000008,Blackburn with Darwen,E12000002,North West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,352
Local Authority,Gross Current Expenditure,8110115,2022,325,E06000009,Blackpool,E12000002,North West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,498
Local Authority,Gross Current Expenditure,8110115,2022,327,E06000050,Cheshire West and Chester,E12000002,North West,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,445
Local Authority,Gross Current Expenditure,8110115,2022,406,E08000025,Birmingham,E12000005,West Midlands,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,4210
Local Authority,Gross Current Expenditure,8110115,2022,411,E08000030,Walsall,E12000005,West Midlands,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,568
Local Authority,Gross Current Expenditure,8110115,2022,416,E10000034,Worcestershire,E12000005,West Midlands,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,2492
Local Authority,Gross Current Expenditure,8110115,2022,417,E06000051,Shropshire,E12000005,West Midlands,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,455
Local Authority,Gross Current Expenditure,8110115,2022,418,E06000020,Telford and Wrekin,E12000005,West Midlands,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,639
Local Authority,Gross Current Expenditure,8110115,2022,506,E10000007,Derbyshire,E12000004,East Midlands,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,2047
Local Authority,Gross Current Expenditure,8110115,2022,507,E06000015,Derby,E12000004,East Midlands,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,721
Local Authority,Gross Current Expenditure,8110115,2022,512,E06000018,Nottingham,E12000004,East Midlands,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,368
Local Authority,Gross Current Expenditure,8110115,2022,607,E10000020,Norfolk,E12000006,East of England,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,2179
Local Authority,Gross Current Expenditure,8110115,2022,608,E10000025,Oxfordshire,E12000008,South East,Expenditure,Long Term Care,9,,18 to 64,Physical Support,Nursing,,,,,,,,1763
