Year,Geographical Description,ONS Code,Measure Group,Measure Group Description,Measure_Value,Geographical Level,Disaggregation Level,Measure Type
2017-18,Barking and Dagenham,E09000002,1A,Social care-related quality of life score,18.8,Council,Total,Outcome
2017-18,Barnet,E09000003,1A,Social care-related quality of life score,19.0,Council,Total,Outcome
2017-18,Barnsley,E08000016,1A,Social care-related quality of life score,19.3,Council,Total,Outcome
2017-18,Bath and North East Somerset,E06000022,1A,Social care-related quality of life score,19.7,Council,Total,Outcome
2017-18,Bedford,E06000055,1A,Social care-related quality of life score,19.1,Council,Total,Outcome
2017-18,Bexley,E09000004,1A,Social care-related quality of life score,18.7,Council,Total,Outcome
2017-18,Birmingham,E08000025,1A,Social care-related quality of life score,19.2,Council,Total,Outcome
2017-18,Blackburn with Darwen,E06000008,1A,Social care-related quality of life score,19.5,Council,Total,Outcome
2017-18,Blackpool,E06000009,1A,Social care-related quality of life score,19.4,Council,Total,Outcome
2017-18,Bolton,E08000001,1A,Social care-related quality of life score,18.7,Council,Total,Outcome
2017-18,Bournemouth,E06000028,1A,Social care-related quality of life score,19.4,Council,Total,Outcome
2017-18,Bracknell Forest,E06000036,1A,Social care-related quality of life score,18.9,Council,Total,Outcome
2017-18,Bradford,E08000032,1A,Social care-related quality of life score,19.2,Council,Total,Outcome
2017-18,Brent,E09000005,1A,Social care-related quality of life score,18.4,Council,Total,Outcome
2017-18,Brighton and Hove,E06000043,1A,Social care-related quality of life score,18.9,Council,Total,Outcome
2017-18,Bristol,E06000023,1A,Social care-related quality of life score,18.8,Council,Total,Outcome
2017-18,Bromley,E09000006,1A,Social care-related quality of life score,18.8,Council,Total,Outcome
2017-18,Buckinghamshire,E10000002,1A,Social care-related quality of life score,19.3,Council,Total,Outcome
2017-18,Bury,E08000002,1A,Social care-related quality of life score,18.9,Council,Total,Outcome
2017-18,Calderdale,E08000033,1A,Social care-related quality of life score,18.8,Council,Total,Outcome
2017-18,Cambridgeshire,E10000003,1A,Social care-related quality of life score,19.7,Council,Total,Outcome
2017-18,Camden,E09000007,1A,Social care-related quality of life score,18.6,Council,Total,Outcome
2017-18,Central Bedfordshire,E06000056,1A,Social care-related quality of life score,18.7,Council,Total,Outcome
2017-18,Cheshire East,E06000049,1A,Social care-related quality of life score,19.7,Council,Total,Outcome
2017-18,Cheshire West and Chester,E06000050,1A,Social care-related quality of life score,19.4,Council,Total,Outcome
2017-18,Cornwall,E06000052,1A,Social care-related quality of life score,19.5,Council,Total,Outcome
2017-18,Coventry,E08000026,1A,Social care-related quality of life score,18.7,Council,Total,Outcome
2017-18,Croydon,E09000008,1A,Social care-related quality of life score,18.5,Council,Total,Outcome
2017-18,Cumbria,E10000006,1A,Social care-related quality of life score,19.8,Council,Total,Outcome
2017-18,Darlington,E06000005,1A,Social care-related quality of life score,18.7,Council,Total,Outcome
2017-18,Derby,E06000015,1A,Social care-related quality of life score,19.3,Council,Total,Outcome
2017-18,Derbyshire,E10000007,1A,Social care-related quality of life score,19.0,Council,Total,Outcome
2017-18,Devon,E10000008,1A,Social care-related quality of life score,19.0,Council,Total,Outcome
2017-18,Doncaster,E08000017,1A,Social care-related quality of life score,19.6,Council,Total,Outcome
2017-18,Dorset,E10000009,1A,Social care-related quality of life score,20.1,Council,Total,Outcome
2017-18,Dudley,E08000027,1A,Social care-related quality of life score,19.1,Council,Total,Outcome
2017-18,Durham,E06000047,1A,Social care-related quality of life score,19.3,Council,Total,Outcome
2017-18,Ealing,E09000009,1A,Social care-related quality of life score,18.3,Council,Total,Outcome
2017-18,East Midlands,E12000004,1A,Social care-related quality of life score,18.9,Region,Total,Outcome
2017-18,East Riding of Yorkshire,E06000011,1A,Social care-related quality of life score,19.7,Council,Total,Outcome
2017-18,East Sussex,E10000011,1A,Social care-related quality of life score,19.6,Council,Total,Outcome
2017-18,Eastern,E12000006,1A,Social care-related quality of life score,19.2,Region,Total,Outcome
2017-18,Enfield,E09000010,1A,Social care-related quality of life score,18.6,Council,Total,Outcome
2017-18,England,E92000001,1A,Social care-related quality of life score,19.1,England,Total,Outcome
2017-18,Essex,E10000012,1A,Social care-related quality of life score,19.2,Council,Total,Outcome
2017-18,Gateshead,E08000037,1A,Social care-related quality of life score,19.8,Council,Total,Outcome
2017-18,Gloucestershire,E10000013,1A,Social care-related quality of life score,19.1,Council,Total,Outcome
2017-18,Greenwich,E09000011,1A,Social care-related quality of life score,18.5,Council,Total,Outcome
2017-18,Hackney,E09000012,1A,Social care-related quality of life score,18.6,Council,Total,Outcome
2017-18,Halton,E06000006,1A,Social care-related quality of life score,19.6,Council,Total,Outcome
2017-18,Hammersmith and Fulham,E09000013,1A,Social care-related quality of life score,18.0,Council,Total,Outcome
2017-18,Hampshire,E10000014,1A,Social care-related quality of life score,19.5,Council,Total,Outcome
2017-18,Haringey,E09000014,1A,Social care-related quality of life score,18.9,Council,Total,Outcome
2017-18,Harrow,E09000015,1A,Social care-related quality of life score,18.4,Council,Total,Outcome
2017-18,Hartlepool,E06000001,1A,Social care-related quality of life score,19.7,Council,Total,Outcome
2017-18,Havering,E09000016,1A,Social care-related quality of life score,19.1,Council,Total,Outcome
2017-18,Herefordshire,E06000019,1A,Social care-related quality of life score,19.8,Council,Total,Outcome
2017-18,Hertfordshire,E10000015,1A,Social care-related quality of life score,19.3,Council,Total,Outcome
2017-18,Hillingdon,E09000017,1A,Social care-related quality of life score,18.4,Council,Total,Outcome
2017-18,Hounslow,E09000018,1A,Social care-related quality of life score,18.5,Council,Total,Outcome
2017-18,Inner London,,1A,Social care-related quality of life score,18.3,Council type,Total,Outcome
2017-18,Isle of Wight,E06000046,1A,Social care-related quality of life score,19.7,Council,Total,Outcome
2017-18,Islington,E09000019,1A,Social care-related quality of life score,18.3,Council,Total,Outcome
2017-18,Kensington and Chelsea,E09000020,1A,Social care-related quality of life score,17.3,Council,Total,Outcome
2017-18,Kent,E10000016,1A,Social care-related quality of life score,19.3,Council,Total,Outcome
2017-18,Kingston upon Hull,E06000010,1A,Social care-related quality of life score,19.4,Council,Total,Outcome
2017-18,Kingston upon Thames,E09000021,1A,Social care-related quality of life score,19.4,Council,Total,Outcome
2017-18,Kirklees,E08000034,1A,Social care-related quality of life score,18.8,Council,Total,Outcome
